ID,Date_Shift,Pipe Size_Calculated,Date_Shift_Supervisor,Date_Shift_Supervisor_Helper,Production Supervisor,Input Date,Input Shift,Trolley no,Loading Time,Lava Temp,Homo Temp,TK Temp,Furnace Num,Temp Eject,Air time,Pipe Size,Size_actual,WT,Prod Rej,Prod Qty,Prod wt,Hour Cycle,Date for Output,Shift,QC Supervisor,QC Time,Accepted Pipes,Rejected Pipes,Check,Cavity,Cracks,R cracks,Ovality,Others,Accepted Wt,Rejected Wt,% R,Status
517c15ce,46108_l,253x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,22,19:45:00,,1210,815,F2,,32,asd666794,253,26,,2,52,-0.2919791667,27-03-2026,,,12:44:33,2,0,Ok,,,,,,52,0,0.00%,Inside Tunnel
9f1090e1,46108_l,550x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,22,19:45:00,,1210,815,F2,,32,asd534811,550,32,,1,32,-0.2918402778,27-03-2026,,,12:44:45,1,0,Ok,,,,,,32,0,0.00%,Inside Tunnel
3333ffdc,46108_l,489x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,23,08:35:00,,1210,815,F2,,32,asd636462,489,48,,4,192,0.1737731481,27-03-2026,,,12:45:14,4,0,Ok,,,,,,192,0,0.00%,Inside Tunnel
9b2dae4a,46108_l,436x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,23,08:35:00,,1210,815,F2,,32,asd221530,436,43,,9,387,0.1741782407,27-03-2026,,,12:45:49,9,0,Ok,,,,,,387,0,0.00%,Inside Tunnel
8cf9429d,46108_l,386x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,23,08:35:00,,1210,815,F2,,32,asd143430,386,38,,4,152,0.1744097222,27-03-2026,,,12:46:09,4,0,Ok,,,,,,152,0,0.00%,Inside Tunnel
b8c9747a,46108_l,336x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,23,08:35:00,,1210,815,F2,,32,asd961942,336,34,,4,136,0.1746759259,27-03-2026,,,12:46:32,4,0,Ok,,,,,,136,0,0.00%,Inside Tunnel
a097ae81,46108_l,253x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,23,08:35:00,,1210,815,F2,,32,asd666794,253,26,,7,182,0.1748842593,27-03-2026,,,12:46:50,7,0,Ok,,,,,,182,0,0.00%,Inside Tunnel
34f5f494,46108_l,550x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,23,08:35:00,,1210,815,F2,,32,asd534811,550,32,,2,64,0.1750810185,27-03-2026,,,12:47:07,2,0,Ok,,,,,,64,0,0.00%,Inside Tunnel
f2bbe90f,46108_l,250x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,23,08:35:00,,1210,815,F2,,32,asd685787,250,15,,2,30,0.1757291667,27-03-2026,,,12:48:03,2,0,Ok,,,,,,30,0,0.00%,Inside Tunnel
4ae18b37,46108_l,489x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,24,09:30:00,,1210,815,F2,,32,asd636462,489,48,,4,192,0.1379282407,27-03-2026,,,12:48:37,4,0,Ok,,,,,,192,0,0.00%,Inside Tunnel
0f481223,46108_l,436x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,24,09:30:00,,1210,815,F2,,32,asd221530,436,43,,9,387,0.1384375,27-03-2026,,,12:49:21,9,0,Ok,,,,,,387,0,0.00%,Inside Tunnel
6ce0b387,46108_l,386x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,24,09:30:00,,1210,815,F2,,32,asd143430,386,38,,3,114,0.1386458333,27-03-2026,,,12:49:39,3,0,Ok,,,,,,114,0,0.00%,Inside Tunnel
cc3f4cfd,46108_l,336x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,24,09:30:00,,1210,815,F2,,32,asd961942,336,34,,3,102,0.1388773148,27-03-2026,,,12:49:59,3,0,Ok,,,,,,102,0,0.00%,Inside Tunnel
385617a8,46108_l,253x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,24,09:30:00,,1210,815,F2,,32,asd666794,253,26,,6,156,0.1392476852,27-03-2026,,,12:50:31,6,0,Ok,,,,,,156,0,0.00%,Inside Tunnel
27e7958f,46108_l,550x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,24,09:30:00,,1210,815,F2,,32,asd534811,550,32,,2,64,0.1393981481,27-03-2026,,,12:50:44,2,0,Ok,,,,,,64,0,0.00%,Inside Tunnel
52534189,46108_l,250x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,24,09:30:00,,1210,815,F2,,32,asd685787,250,15,,2,30,0.1396180556,27-03-2026,,,12:51:03,2,0,Ok,,,,,,30,0,0.00%,Inside Tunnel
70658344,46108_l,489x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,25,10:25:00,,1210,815,F2,,34,asd636462,489,48,,5,240,0.1015972222,27-03-2026,,,12:51:18,5,0,Ok,,,,,,240,0,0.00%,Inside Tunnel
9672fa16,46108_l,436x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,25,10:25:00,,1210,815,F2,,34,asd221530,436,43,,8,344,0.1020717593,27-03-2026,,,12:51:59,8,0,Ok,,,,,,344,0,0.00%,Inside Tunnel
922737ce,46108_l,386x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,25,10:25:00,,1210,815,F2,,34,asd143430,386,38,,4,152,0.1022685185,27-03-2026,,,12:52:16,4,0,Ok,,,,,,152,0,0.00%,Inside Tunnel
7db6612a,46108_l,336x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,25,10:25:00,,1210,815,F2,,34,asd961942,336,34,,4,136,0.1025694444,27-03-2026,,,12:52:42,4,0,Ok,,,,,,136,0,0.00%,Inside Tunnel
5a9e75c3,46108_l,253x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,25,10:25:00,,1210,815,F2,,34,asd666794,253,26,,7,182,0.1027430556,27-03-2026,,,12:52:57,7,0,Ok,,,,,,182,0,0.00%,Inside Tunnel
3fd5ca2e,46108_l,550x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,25,10:25:00,,1210,815,F2,,34,asd534811,550,32,,2,64,0.1029282407,27-03-2026,,,12:53:13,2,0,Ok,,,,,,64,0,0.00%,Inside Tunnel
96990642,46108_l,250x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,25,10:25:00,,1210,815,F2,,34,asd685787,250,15,,1,15,0.1031018518,27-03-2026,,,12:53:28,1,0,Ok,,,,,,15,0,0.00%,Inside Tunnel
79b4129e,46108_l,489x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,26,10:25:00,,1210,815,F2,,34,asd636462,489,48,,2,96,0.1033101852,27-03-2026,,,12:53:46,2,0,Ok,,,,,,96,0,0.00%,Inside Tunnel
2b1bb6ac,46108_l,436x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,26,11:15:00,,1210,815,F2,,34,asd221530,436,43,,3,129,0.0687962963,27-03-2026,,,12:54:04,3,0,Ok,,,,,,129,0,0.00%,Inside Tunnel
1d21f6fe,46108_l,386x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,26,11:15:00,,1210,815,F2,,34,asd143430,386,38,,1,38,0.06923611111,27-03-2026,,,12:54:42,1,0,Ok,,,,,,38,0,0.00%,Inside Tunnel
81aa1f4e,46108_l,336x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,26,11:15:00,,1210,815,F2,,34,asd961942,336,34,,1,34,0.0694212963,27-03-2026,,,12:54:58,1,0,Ok,,,,,,34,0,0.00%,Inside Tunnel
b42172e1,46108_l,253x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,26,11:15:00,,1210,815,F2,,34,asd666794,253,26,,2,52,0.06960648148,27-03-2026,,,12:55:14,2,0,Ok,,,,,,52,0,0.00%,Inside Tunnel
0217a0f8,46108_l,550x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,26,11:15:00,,1210,815,F2,,34,asd534811,550,32,,1,32,0.06980324074,27-03-2026,,,12:55:31,1,0,Ok,,,,,,32,0,0.00%,Inside Tunnel
21dc153b,46108_l,489x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,27,12:10:00,,1210,810,F2,,34,asd636462,489,48,,4,192,0.03195601852,27-03-2026,,,12:56:01,4,0,Ok,,,,,,192,0,0.00%,Inside Tunnel
6c6ab3d0,46108_l,436x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,27,12:10:00,,1210,810,F2,,34,asd221530,436,43,,8,344,0.03303240741,27-03-2026,,,12:57:34,8,0,Ok,,,,,,344,0,0.00%,Inside Tunnel
6193f10a,46108_l,386x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,27,12:10:00,,1210,810,F2,,34,asd143430,386,38,,4,152,0.03337962963,27-03-2026,,,12:58:04,4,0,Ok,,,,,,152,0,0.00%,Inside Tunnel
2ca7b471,46108_l,336x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,27,12:10:00,,1210,810,F2,,34,asd961942,336,34,,4,136,0.03358796296,27-03-2026,,,12:58:22,4,0,Ok,,,,,,136,0,0.00%,Inside Tunnel
32695f92,46108_l,253x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,27,12:10:00,,1210,810,F2,,34,asd666794,253,26,,8,208,0.03376157407,27-03-2026,,,12:58:37,8,0,Ok,,,,,,208,0,0.00%,Inside Tunnel
f826bf34,46108_l,550x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,27,12:10:00,,1210,810,F2,,34,asd534811,550,32,,1,32,0.03394675926,27-03-2026,,,12:58:53,1,0,Ok,,,,,,32,0,0.00%,Inside Tunnel
c6dbedb9,46108_l,250x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,27,12:10:00,,1210,810,F2,,34,asd685787,250,15,,1,15,0.0341550926,27-03-2026,,,12:59:11,1,0,Ok,,,,,,15,0,0.00%,Inside Tunnel
b5334c17,46082_l,436x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,46,07:10:00,,1190,775,F1,,32,asd221530,436,43,,5,215,1.286956019,02-03-2026,lll,Jadhav S.S.,14:03:13,2,3,Ok,,2,1,,,86,129,60.00%,QC Checked
110cb3b8,46082_l,386x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,46,07:10:00,,1190,775,F1,,32,asd143430,386,38,,5,190,1.288020833,02-03-2026,lll,,14:04:45,5,0,Ok,0,,,,,190,0,0.00%,QC Checked
c083544a,46082_l,336x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,46,07:10:00,,1190,775,F1,,32,asd961942,336,34,,10,340,1.288240741,02-03-2026,lll,,14:05:04,8,2,Ok,,2,,,,272,68,20.00%,QC Checked
70d0e249,46082_l,253x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,46,07:10:00,,1190,775,F1,,32,5fc89043,253,26,,5,130,1.288414352,02-03-2026,lll,,14:05:19,3,2,Ok,,2,,,,78,52,40.00%,QC Checked
b63eea50,46082_l,153x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,46,07:10:00,,1190,775,F1,,32,asd259143,153,16,,5,80,1.288657407,02-03-2026,lll,,14:05:40,4,1,Ok,,1,,,,64,16,20.00%,QC Checked
0299217e,46082_l,550x350x50,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,46,07:10:00,,1190,775,F1,,32,asd534811,550,32,,1,32,1.288877315,02-03-2026,lll,,14:05:59,1,0,Ok,0,,,,,32,0,0.00%,QC Checked
8d4baaea,46082_l,436x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,47,08:10:00,,1190,775,F1,,32,asd221530,436,43,,3,129,1.24806713,02-03-2026,lll,Jadhav S.S.,14:07:13,2,1,Ok,,1,,,,86,43,33.33%,QC Checked
e634ce1d,46082_l,386x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,47,08:10:00,,1190,775,F1,,32,asd143430,386,38,,3,114,1.249467593,02-03-2026,lll,,14:09:14,3,0,Ok,0,,,,,114,0,0.00%,QC Checked
cd2e400d,46082_l,336x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,47,08:10:00,,1190,775,F1,,32,asd961942,336,34,,6,204,1.250243056,02-03-2026,lll,,14:10:21,6,0,Ok,0,,,,,204,0,0.00%,QC Checked
7d45f261,46082_l,253x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,47,08:10:00,,1190,775,F1,,32,asd666794,253,26,,3,78,1.251342593,02-03-2026,lll,,14:11:56,2,1,Ok,0,,,,1,52,26,33.33%,QC Checked
af5eeb9f,46082_l,153x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,47,08:10:00,,1190,775,F1,,32,asd259143,153,16,,3,48,1.252777778,02-03-2026,lll,,14:14:00,2,1,Ok,,1,,,,32,16,33.33%,QC Checked
40cc5269,46082_l,550x350x50,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,47,08:10:00,,1190,775,F1,,32,asd534811,550,32,,1,32,1.253287037,02-03-2026,lll,,14:14:44,0,1,Ok,,,,,1,0,32,100.00%,QC Checked
3db15cc6,46082_l,436x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,48,09:10:00,,1190,775,F1,,32,asd221530,436,43,,5,215,0.2119791667,01-03-2026,l,,14:15:15,1,4,Ok,,3,1,,,43,172,80.00%,QC Checked
563ce864,46082_l,386x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,48,09:10:00,1136,1190,775,F1,,32,asd143430,386,38,,5,190,1.214872685,02-03-2026,l,,14:19:25,5,0,Ok,0,0,0,,,190,0,0.00%,QC Checked
48d0dcdf,46082_l,336x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,48,09:10:00,1136,1190,775,F1,,32,asd961942,336,34,,10,340,1.216215278,02-03-2026,l,,14:21:21,7,3,Ok,,2,1,,,238,102,30.00%,QC Checked
a04a3744,46082_l,253x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,48,09:10:00,1136,1190,775,F1,,32,asd666794,253,26,,5,130,1.216585648,02-03-2026,l,,14:21:53,5,0,Ok,0,,,,,130,0,0.00%,QC Checked
a75c121e,46082_l,153x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,48,09:10:00,1136,1190,775,F1,,32,asd259143,153,16,,5,80,1.216944444,02-03-2026,l,,14:22:24,5,0,Ok,0,,,,,80,0,0.00%,QC Checked
40cf4346,46082_l,550x350x50,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,48,09:10:00,1136,1190,775,F1,,32,asd534811,550,32,,2,64,1.217974537,02-03-2026,l,,14:23:53,2,0,Ok,0,,,,,64,0,0.00%,QC Checked
f6736c7c,46082_l,436x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,49,10:10:00,,1190,775,F1,,32,asd221530,436,43,,3,129,26.1772338,27-03-2026,,,14:25:13,3,0,Ok,,,,,,129,0,0.00%,Inside Tunnel
339c306f,46082_l,386x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,49,10:10:00,,1190,775,F1,,32,asd143430,386,38,,3,114,26.17815972,27-03-2026,,,14:26:33,3,0,Ok,,,,,,114,0,0.00%,Inside Tunnel
36f8f505,46108_l,489x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,28,13:05:00,,1210,810,F2,,34,asd636462,489,48,,4,192,0.05630787037,27-03-2026,,,14:26:05,4,0,Ok,,,,,,192,0,0.00%,Inside Tunnel
9e2eb12a,46108_l,436x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,28,13:05:00,,1210,810,F2,,34,asd221530,436,43,,7,301,0.05707175926,27-03-2026,,,14:27:11,7,0,Ok,,,,,,301,0,0.00%,Inside Tunnel
46eeaf9a,46082_l,336x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,49,10:10:00,,1190,775,F1,,32,asd961942,336,34,,6,204,26.17849537,27-03-2026,,,14:27:02,6,0,Ok,,,,,,204,0,0.00%,Inside Tunnel
869ba9a8,46108_l,386x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,28,13:05:00,,1210,810,F2,,34,asd143430,386,38,,4,152,0.05732638889,27-03-2026,,,14:27:33,4,0,Ok,,,,,,152,0,0.00%,Inside Tunnel
29aa3b1f,46108_l,336x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,28,13:05:00,,1210,810,F2,,34,asd961942,336,34,,4,136,0.05751157407,27-03-2026,,,14:27:49,4,0,Ok,,,,,,136,0,0.00%,Inside Tunnel
77203c73,46082_l,253x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,49,10:10:00,,1190,775,F1,,32,asd666794,253,26,,3,78,26.17895833,27-03-2026,,,14:27:42,3,0,Ok,,,,,,78,0,0.00%,Inside Tunnel
2f19c81d,46108_l,253x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,28,13:05:00,,1210,810,F2,,34,asd666794,253,26,,8,208,0.05769675926,27-03-2026,,,14:28:05,8,0,Ok,,,,,,208,0,0.00%,Inside Tunnel
7778a5a0,46108_l,550x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,28,13:05:00,,1210,810,F2,,34,asd534811,550,32,,2,64,0.05787037037,27-03-2026,,,14:28:20,2,0,Ok,,,,,,64,0,0.00%,Inside Tunnel
6ddb077d,46108_l,250x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,28,13:05:00,,1210,810,F2,,34,asd685787,250,15,,1,15,0.05802083333,27-03-2026,,,14:28:33,1,0,Ok,,,,,,15,0,0.00%,Inside Tunnel
6cfbe7b3,46082_l,153x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,49,10:10:00,,1190,775,F1,,32,asd259143,153,16,,3,48,26.18081019,27-03-2026,,,14:30:22,3,0,Ok,,,,,,48,0,0.00%,Inside Tunnel
9b329902,46082_l,436x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,50,11:10:00,,1190,775,F1,,32,asd221530,436,43,,3,129,26.14012731,27-03-2026,,,14:31:47,3,0,Ok,,,,,,129,0,0.00%,Inside Tunnel
40e5e619,46082_l,386x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,50,11:10:00,,1190,775,F1,,32,asd143430,386,38,,3,114,26.1412037,27-03-2026,,,14:33:20,3,0,Ok,,,,,,114,0,0.00%,Inside Tunnel
e0fe65be,46082_l,336x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,50,11:10:00,,1190,775,F1,,32,asd961942,336,34,,6,204,26.14152778,27-03-2026,,,14:33:48,6,0,Ok,,,,,,204,0,0.00%,Inside Tunnel
3e58494c,46082_l,253x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,50,11:10:00,,1190,775,F1,,32,asd666794,253,26,,3,78,26.14174769,27-03-2026,,,14:34:07,3,0,Ok,,,,,,78,0,0.00%,Inside Tunnel
3db119e1,46082_l,153x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,50,11:10:00,,1190,775,F1,,32,asd259143,153,16,,2,32,26.14195602,27-03-2026,,,14:34:25,2,0,Ok,,,,,,32,0,0.00%,Inside Tunnel
49b0a480,46082_l,550x350x50,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,50,11:10:00,,1190,775,F1,,32,asd534811,550,32,,2,64,26.14237269,27-03-2026,,,14:35:01,2,0,Ok,,,,,,64,0,0.00%,Inside Tunnel
abd5b3f5,46082_l,436x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,51,12:10:00,,1190,775,F1,,32,asd221530,436,43,,5,215,26.10298611,27-03-2026,,,14:38:18,5,0,Ok,,,,,,215,0,0.00%,Inside Tunnel
c9977b17,46082_l,386x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,51,12:10:00,,1190,775,F1,,32,asd143430,386,38,,4,152,26.10380787,27-03-2026,,,14:39:29,4,0,Ok,,,,,,152,0,0.00%,Inside Tunnel
a036b51a,46082_l,336x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,51,12:10:00,,1190,775,F1,,32,asd961942,336,34,,10,340,26.10412037,27-03-2026,,,14:39:56,10,0,Ok,,,,,,340,0,0.00%,Inside Tunnel
80f3c114,46082_l,253x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,51,12:10:00,,1190,775,F1,,32,asd666794,253,26,,5,130,26.10430556,27-03-2026,,,14:40:12,5,0,Ok,,,,,,130,0,0.00%,Inside Tunnel
407c7c79,46082_l,153x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,51,12:10:00,,1190,775,F1,,32,asd259143,153,16,,5,80,26.10456019,27-03-2026,,,14:40:34,5,0,Ok,,,,,,80,0,0.00%,Inside Tunnel
ba9bc471,46082_l,550x350x50,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,51,12:10:00,,1190,775,F1,,32,asd534811,550,32,,2,64,26.10472222,27-03-2026,,,14:40:48,2,0,Ok,,,,,,64,0,0.00%,Inside Tunnel
35ca2004,46082_l,436x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,1,13:10:00,,1190,775,F1,,32,asd221530,436,43,,5,215,26.06322917,27-03-2026,,,14:41:03,5,0,Ok,,,,,,215,0,0.00%,Inside Tunnel
977a391d,46082_l,386x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,1,13:10:00,,1190,775,F1,,32,asd143430,386,38,,4,152,26.06377315,27-03-2026,,,14:41:50,4,0,Ok,,,,,,152,0,0.00%,Inside Tunnel
a6a3da30,46082_l,336x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,1,13:10:00,,1190,775,F1,,32,asd961942,336,34,,10,340,26.06399306,27-03-2026,,,14:42:09,10,0,Ok,,,,,,340,0,0.00%,Inside Tunnel
79b5fae2,46082_l,253x500x20,63b5c001,01-03-2026_l_Biradar H.K.,Biradar H.K.,01-03-2026,l,1,13:10:00,,1190,775,F1,,32,asd666794,253,26,,5,130,26.06415509,27-03-2026,,,14:42:23,5,0,Ok,,,,,,130,0,0.00%,Inside Tunnel
